AmbientAssistedLiving;Sensor;LightMonit;TempMonit;GlucMonit;Others;Humidity;Accelerometer;Glucose;Light;Temperature;FallMonit;SenEncryp;iPhone;Smartphone;Video;SmartphoneType;Android;FailTrans;Diabetes;PhEncryp;Alarm;Camera;Transmission;Rec;CamEncryp;FallRec;Services;VideoSurveillance;Encryption;LightControl;GlucoseControl;FallDetection;HeatControl
true;true;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;true;true;false;false;false;false;true;false;false;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;true;true;false;false;false;false;true;false;false;false;false;false;false
true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;true;true;false;false;false;false;true;false;false;false;false;false;false
true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;false;true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;true;true;false;false;false;false;true;false;false;false;false;false;false
true;true;true;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;false;true;false;true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;true;true;false;false;false;false;true;false;false;false;false;false;false
true;true;true;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;false;true;false;true;false;false;true;true;true;false;false;false;true;false;false;false;false;false;false;true;true;false;false;false;false;true;false;false;false;false;false;false
true;true;true;true;true;true;false;true;true;false;false;false;false;false;true;false;false;false;false;false;false;true;true;false;false;false;false;true;false;false;false;false;false;false
true;true;false;true;false;true;false;true;false;false;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;false;true;true;true;false;true;false;true;false;false;true;false;false;false;false;false;false;true;true;false;false;false;false;true;false;false;false;false;false;false
true;true;true;true;false;true;true;true;false;true;false;true;true;false;true;false;false;false;false;false;false;true;true;false;false;false;false;true;false;false;false;false;false;false
true;true;true;false;true;true;true;false;false;true;true;true;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;false;true;false;true;false;true;true;false;false;false;false;false;false;true;true;false;false;false;false;true;false;false;false;false;false;false
true;true;false;false;false;true;true;false;false;false;false;true;true;true;true;true;false;false;false;false;false;true;true;false;false;false;false;true;false;false;false;false;false;false
true;true;false;true;false;true;true;true;false;false;false;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;false;false;false;true;true;true;false;true;true;true;true;true;true;false;true;true;false;false;false;true;true;false;false;false;false;true;false;false;false;false;false;false
true;true;false;false;false;true;true;true;false;true;true;true;false;false;true;true;true;true;true;false;false;true;true;false;false;false;false;true;false;false;false;false;false;false
true;true;true;true;true;true;true;false;true;false;true;false;false;false;true;true;true;true;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;false;true;false;true;true;false;true;true;true;false;false;true;true;true;true;true;false;true;true;true;true;false;false;false;false;true;false;false;false;false;false;false
true;true;false;false;true;true;true;false;true;false;true;true;true;false;true;true;true;true;false;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true
true;true;false;false;true;true;true;false;true;true;false;false;false;true;true;false;true;true;true;true;false;true;true;true;true;false;false;true;false;false;false;false;false;false
true;true;true;true;false;true;true;true;true;false;false;false;true;false;true;true;true;true;true;true;false;true;true;true;false;false;true;true;true;true;true;true;true;true
true;true;false;false;true;true;true;false;true;true;true;false;true;false;true;false;true;true;false;true;false;true;true;true;false;true;true;true;false;false;false;false;false;false
true;true;true;false;false;true;true;true;false;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;false;true;false;true;false;true;true;true;true;true
true;true;false;true;false;true;true;true;true;false;false;true;true;false;true;true;true;true;false;false;false;true;true;true;true;true;false;true;true;true;false;false;false;false
true;true;true;false;false;true;true;true;false;false;true;true;true;false;true;false;true;true;true;true;true;true;true;true;false;true;true;true;true;false;false;true;true;true
true;true;false;true;true;true;true;false;true;true;false;true;true;true;true;false;true;true;false;false;true;true;true;true;true;true;false;true;false;false;true;true;false;false
true;true;true;false;true;true;true;true;false;true;false;false;true;false;true;true;true;true;true;false;true;true;true;true;false;false;false;true;true;true;true;false;false;true
true;true;false;false;false;true;true;false;false;true;false;false;true;false;true;true;true;true;true;false;false;true;true;false;false;false;false;true;false;true;false;false;true;false
