AutomotiveMultimedia;AudioPlayer;Radio;PersonalNavigation;VoiceRecognition;Maps;OnBoardComputer;CDPlayer;AudioCDPlayer;MP3CDPlayer
true;true;true;false;false;false;true;false;false;false
true;false;false;true;true;true;true;false;false;false
true;true;true;true;true;true;true;true;true;false
true;true;true;false;false;false;true;true;false;true
true;true;true;true;true;true;true;true;false;true
true;true;true;false;false;false;true;true;true;false
true;false;false;false;false;false;true;false;false;false
true;false;false;true;false;true;true;false;false;false
true;false;false;true;false;true;true;true;true;false
true;false;false;true;true;true;true;true;false;true
