AutomotiveMultimedia;VoiceRecognition;PersonalNavigation;Maps;Europe;NorthAmerica;CentralAmerica;SouthAmerica;Asia;OnBoardComputer;AudioPlayer;Radio;CDPlayer
true;false;false;false;false;false;false;false;false;true;true;true;false
true;true;true;true;true;true;true;true;true;true;false;false;false
true;true;true;true;false;false;true;false;true;true;true;true;true
true;false;false;false;false;false;false;false;false;true;true;true;true
true;false;false;false;false;false;false;false;false;true;false;false;false
true;false;true;true;true;true;false;true;false;true;true;true;true
true;true;false;false;false;false;false;false;false;true;true;true;true
true;false;true;true;false;true;true;true;true;true;true;true;false
true;false;true;true;true;false;false;false;true;true;false;false;false
true;false;true;true;true;false;true;true;false;true;false;false;false
true;true;true;true;false;true;true;false;false;true;false;false;false
