AutomotiveMultimedia;AudioPlayer;Radio;SouthAmerica;CDPlayer;VoiceRecognition;PersonalNavigation;Maps;Europe;NorthAmerica;CentralAmerica;Asia;OnBoardComputer
true;true;true;false;false;false;false;false;false;false;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true
true;false;false;false;false;false;false;false;false;false;false;false;true
true;false;false;false;false;true;true;true;true;true;true;true;true
true;true;true;true;false;false;false;false;false;false;false;false;true
true;true;true;false;true;true;false;false;false;false;false;false;true
true;true;true;true;true;false;true;true;true;true;true;true;true
true;true;true;false;false;true;true;true;true;false;false;false;true
true;true;true;true;true;true;true;true;false;true;true;true;true
true;true;true;true;false;true;true;true;false;true;false;false;true
true;true;true;true;false;true;true;true;true;false;false;true;true
true;true;true;true;false;true;true;true;false;false;true;false;true
