AutomotiveMultimedia;AudioPlayer;Radio;CDPlayer;Asia;VoiceRecognition;PersonalNavigation;Maps;Europe;NorthAmerica;CentralAmerica;SouthAmerica;OnBoardComputer
true;true;true;false;false;false;false;false;false;false;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true
true;false;false;false;false;false;false;false;false;false;false;false;true
true;false;false;false;false;true;true;true;true;true;true;true;true
true;true;true;true;false;false;false;false;false;false;false;false;true
true;true;true;false;true;true;false;false;false;false;false;false;true
true;true;true;true;true;false;true;true;true;true;true;true;true
true;true;true;true;false;false;true;true;true;false;false;false;true
true;true;true;false;false;true;true;true;false;true;true;true;true
true;true;true;true;false;false;true;true;true;true;false;false;true
true;true;true;false;true;true;true;true;false;false;false;true;true
true;true;true;false;true;false;true;true;true;false;true;false;true
