AutomotiveMultimedia;AudioPlayer;Radio;CDPlayer;VoiceRecognition;PersonalNavigation;Maps;Europe;CentralAmerica;SouthAmerica;Asia;OnBoardComputer;NorthAmerica
true;true;true;false;false;false;false;false;false;false;false;true;false
true;true;true;true;true;true;true;true;true;true;true;true;true
true;false;false;false;false;false;false;false;false;false;false;true;false
true;false;false;false;true;true;true;true;true;true;true;true;true
true;true;true;true;true;false;false;false;false;false;false;true;false
true;true;true;true;false;true;true;true;true;true;true;true;true
true;true;true;true;false;true;true;true;false;false;false;true;false
true;true;true;false;true;true;true;false;true;true;true;true;true
true;true;true;false;false;true;true;false;false;true;true;true;true
true;true;true;false;true;true;true;true;true;true;false;true;false
true;true;true;false;true;false;false;false;false;false;false;true;true
true;true;true;true;false;true;true;false;true;false;true;true;false
