AutomotiveMultimedia;AudioPlayer;Radio;CDPlayer;VoiceRecognition;PersonalNavigation;Maps;Europe;NorthAmerica;CentralAmerica;SouthAmerica;OnBoardComputer;Asia
true;true;true;false;false;false;false;false;false;false;false;true;false
true;true;true;true;true;true;true;true;true;true;true;true;true
true;false;false;false;false;false;false;false;false;false;false;true;false
true;false;false;false;true;true;true;true;true;true;true;true;true
true;true;true;true;true;false;false;false;false;false;false;true;false
true;true;true;true;false;true;true;true;true;true;true;true;true
true;true;true;false;true;true;true;true;false;false;false;true;false
true;true;true;true;true;true;true;false;true;true;true;true;true
true;true;true;true;false;true;true;true;false;true;true;true;true
true;true;true;true;true;true;true;true;true;true;false;true;false
true;true;true;false;false;false;false;false;false;false;false;true;true
true;true;true;true;false;true;true;false;true;false;true;true;false
