AutomotiveMultimedia;AudioPlayer;Radio;CDPlayer;PersonalNavigation;Maps;Europe;NorthAmerica;CentralAmerica;SouthAmerica;Asia;OnBoardComputer;VoiceRecognition
true;true;true;false;false;false;false;false;false;false;false;true;false
true;true;true;true;true;true;true;true;true;true;true;true;true
true;false;false;false;false;false;false;false;false;false;false;true;false
true;false;false;false;true;true;true;true;true;true;true;true;true
true;true;true;true;false;false;false;false;false;false;false;true;false
true;true;true;false;true;true;true;false;false;false;false;true;false
true;true;true;false;true;true;false;true;true;true;true;true;true
true;true;true;true;true;true;false;false;true;true;true;true;true
true;true;true;true;true;true;true;true;true;false;false;true;false
true;true;true;false;true;true;false;true;false;false;true;true;true
true;true;true;true;true;true;false;false;false;true;true;true;false
true;true;true;false;false;false;false;false;false;false;false;true;true
true;true;true;false;true;true;true;false;true;true;false;true;false
