BCS;Wiper;Budget;Premium;Door_System;Power_window;Security;CLS;RCK;Infotainment;Bluetooth;USB;Heatable_Mirrors;
true;true;false;true;true;false;false;false;false;false;false;false;false;
true;true;true;false;true;true;true;true;true;true;true;true;false;
true;true;false;true;true;false;false;false;false;true;false;true;false;
true;true;false;true;true;false;false;false;false;true;true;false;false;
true;true;true;false;true;true;true;true;true;false;false;false;false;
true;true;true;false;true;false;true;true;true;false;false;false;false;
true;true;false;true;true;true;false;false;false;false;false;false;false;
true;true;false;true;true;*;true;true;true;false;false;false;false;
true;true;true;false;true;*;false;false;false;false;false;false;false;
true;true;false;true;true;*;true;false;false;false;false;false;false;
