BCS;Wiper;Budget;Premium;Heatable_Mirrors;Door_System;Power_window;Security;CLS;RCK;Infotainment;Bluetooth;USB
true;true;false;true;false;true;false;false;false;false;false;false;false
true;true;true;false;false;true;true;true;true;false;true;true;false
true;true;false;true;true;true;true;false;false;false;true;true;true
true;true;true;false;false;true;false;true;false;false;false;false;false
true;true;false;true;true;true;false;true;true;true;false;false;false
true;true;true;false;false;true;true;false;false;false;true;false;true
true;true;true;false;false;true;false;true;true;false;true;true;true
true;true;true;false;false;true;true;true;false;false;false;false;false
true;true;false;true;false;true;false;true;false;false;true;false;true
true;true;false;true;false;true;true;true;false;true;true;true;true
