BCS;Wiper;Budget;USB;Premium;Door_System;Power_window;Heatable_Mirrors;Security;CLS;RCK;Infotainment;Bluetooth
true;true;false;false;true;true;false;false;true;false;true;false;false
true;true;true;true;false;true;true;true;true;false;true;true;true
true;true;false;false;true;true;true;false;true;false;true;true;true
true;true;true;false;false;true;false;false;true;false;true;false;false
true;true;false;false;true;true;false;true;true;false;true;true;true
true;true;true;true;false;true;true;false;true;false;true;false;false
true;true;true;false;false;true;false;false;true;false;true;true;true
true;true;true;false;false;true;true;true;true;false;true;false;false
true;true;false;false;true;true;false;false;true;false;true;true;true
true;true;true;true;false;true;false;false;true;false;true;true;true
