BCS;Wiper;Budget;Premium;Security;CLS;RCK;Door_System;Power_window;Heatable_Mirrors;Infotainment;Bluetooth;USB
true;true;false;false;true;false;false;true;false;false;false;false;false
true;true;false;true;false;false;false;true;true;true;true;true;true
true;true;false;false;true;true;true;true;true;true;true;true;true
true;true;true;false;false;false;false;true;false;false;false;false;false
true;true;true;false;false;false;false;true;true;true;true;true;true
true;true;false;true;false;false;false;true;false;false;false;false;false
true;true;false;false;true;true;true;true;false;false;false;false;false
true;true;true;false;false;false;false;true;true;false;false;false;false
true;true;true;false;false;false;false;true;false;false;true;true;true
true;true;true;false;false;false;false;true;false;true;false;false;false
true;true;true;false;false;false;false;true;false;true;true;true;false
true;true;true;false;false;false;false;true;false;false;true;false;true
