BCS;Wiper;Budget;Security;CLS;RCK;Premium;Door_System;Power_window;Heatable_Mirrors;Infotainment;Bluetooth;USB;Automatic_Driving;CruiseControl;ACC
true;true;false;false;false;false;true;true;false;false;false;false;false;false;false;false
true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true
true;true;false;false;false;false;true;true;true;false;false;false;false;false;false;false
true;true;false;false;false;false;true;true;false;false;true;true;true;true;true;true
true;true;false;false;false;false;true;true;false;true;false;false;false;false;false;false
true;true;false;false;false;false;true;true;false;false;true;true;false;false;false;false
true;true;false;false;false;false;true;true;false;false;false;false;false;true;true;true
true;true;false;false;false;false;true;true;true;true;true;false;true;false;false;false
true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;false
true;true;false;false;false;false;true;true;false;false;true;true;false;true;false;true
