BCS;Wiper;Budget;Power_window;Premium;Door_System;Heatable_Mirrors;Security;CLS;RCK;Infotainment;Bluetooth;USB;Voice_Control;Automatic_Driving;CruiseControl;ACC
true;true;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false
true;true;true;true;false;true;true;false;false;false;false;false;false;false;true;true;false
true;true;false;false;true;true;true;false;false;false;true;true;true;true;false;false;false
true;true;true;false;false;true;false;false;false;false;true;false;true;true;true;false;false
true;true;false;false;true;true;true;false;false;false;true;true;true;false;true;false;false
true;true;true;true;false;true;false;false;false;false;true;false;true;false;false;false;false
true;true;false;false;true;true;false;false;false;false;true;true;false;true;true;false;false
true;true;false;false;true;true;false;false;false;false;true;true;true;true;true;true;false
true;true;true;false;false;true;false;false;false;false;true;true;false;true;true;true;false
true;true;true;true;false;true;false;false;false;false;true;true;true;true;true;true;false
