CarBody;MultimediaDevices;Navigation;DisplayType;MonochromeNavDisplay;ColorNavDisplay;DataStorage;HardDiskDrive;DVDDrive;DVDEntertainment;Radio;MonochromeRadioDisplay;ColorRadioDisplay;OtherFeatures
true;true;false;false;false;false;false;false;false;false;false;false;false;true
true;false;false;false;false;false;false;false;false;false;false;false;false;true
true;true;true;true;true;false;true;true;true;false;true;true;false;true
true;true;true;true;false;true;false;false;false;false;true;false;true;true
true;true;false;false;false;false;false;false;false;false;true;false;true;true
true;true;false;false;false;false;false;false;false;false;true;true;false;true
true;true;true;true;true;false;true;true;false;false;false;false;false;true
true;true;true;true;true;false;true;false;true;false;true;true;false;true
true;true;true;true;false;true;true;true;true;false;false;false;false;true
true;true;true;true;false;true;true;true;true;false;true;true;false;true
true;true;true;true;true;false;false;false;false;false;true;false;true;true
true;true;true;true;true;false;true;true;true;false;true;false;true;true
true;true;false;false;false;false;false;false;false;true;false;false;false;true
true;true;true;true;true;false;true;true;false;true;true;true;false;true
true;true;true;true;false;true;true;true;false;true;true;false;true;true
