CarBody;MultimediaDevices;Radio;MonochromeRadioDisplay;ColorRadioDisplay;Navigation;DisplayType;ColorNavDisplay;DataStorage;HardDiskDrive;DVDDrive;DVDEntertainment;OtherFeatures;MonochromeNavDisplay
true;true;false;false;false;false;false;false;false;false;false;false;true;false
true;false;false;false;false;false;false;false;false;false;false;false;true;false
true;true;true;true;false;true;true;true;true;false;true;true;true;true
true;true;true;false;true;true;true;true;false;false;false;false;true;false
true;true;true;false;true;false;false;false;false;false;false;false;true;false
true;true;true;true;false;false;false;false;false;false;false;false;true;false
true;true;false;false;false;true;true;true;true;true;false;false;true;true
true;true;true;false;true;true;true;true;true;true;true;true;true;true
true;true;true;true;false;true;true;true;true;true;true;true;true;false
true;true;false;false;false;true;true;true;true;true;true;true;true;false
true;true;true;false;true;true;true;true;false;false;false;false;true;true
true;false;false;false;false;false;false;false;false;false;false;false;true;true
