CarBody;MultimediaDevices;Radio;MonochromeRadioDisplay;ColorRadioDisplay;Navigation;DataStorage;HardDiskDrive;DVDDrive;DVDEntertainment;OtherFeatures;DisplayType;MonochromeNavDisplay;ColorNavDisplay
true;true;false;false;false;false;false;false;false;false;true;true;true;false
true;false;false;false;false;false;false;false;false;false;true;true;false;true
true;true;true;true;false;true;true;true;true;true;true;true;true;false
true;true;true;false;true;true;false;false;false;false;true;true;false;true
true;true;true;false;true;false;false;false;false;false;true;true;true;false
true;true;true;true;false;false;false;false;false;false;true;true;true;false
true;true;false;false;false;true;true;true;false;false;true;true;true;false
true;true;true;false;true;true;true;false;true;true;true;true;true;false
true;true;true;true;false;true;true;true;true;true;true;true;false;true
true;true;false;false;false;true;true;true;true;true;true;true;false;true
true;true;true;false;true;true;false;false;false;false;true;true;true;false
true;true;true;false;true;true;true;true;true;true;true;true;true;false
true;false;false;false;false;false;false;false;false;false;true;true;true;false
