CarBody;MultimediaDevices;Radio;MonochromeRadioDisplay;ColorRadioDisplay;Navigation;DataStorage;HardDiskDrive;DVDDrive;DVDEntertainment;DisplayType;MonochromeNavDisplay;ColorNavDisplay;OtherFeatures
true;true;false;false;false;false;false;false;false;false;true;false;true;true
true;false;false;false;false;false;false;false;false;false;false;false;false;true
true;true;true;true;false;true;true;true;true;true;true;true;false;true
true;true;true;false;true;true;false;false;false;false;true;false;true;true
true;true;true;false;true;false;false;false;false;false;true;false;true;true
true;true;true;true;false;false;false;false;false;false;true;false;true;true
true;true;false;false;false;true;true;true;false;false;true;false;true;true
true;true;true;false;true;true;true;false;true;true;true;true;false;true
true;true;true;true;false;true;true;true;true;true;true;false;true;true
true;true;false;false;false;true;true;true;true;true;true;false;true;true
true;true;true;false;true;true;true;true;true;false;true;true;false;true
true;true;true;true;false;false;false;false;false;true;true;false;true;true
true;true;false;false;false;true;true;false;true;true;true;true;false;true
