CarBody;MultimediaDevices;Radio;MonochromeRadioDisplay;ColorRadioDisplay;DataStorage;HardDiskDrive;DVDDrive;Navigation;DisplayType;MonochromeNavDisplay;ColorNavDisplay;DVDEntertainment;OtherFeatures
true;true;false;false;false;false;false;false;false;false;false;false;false;true
true;false;false;false;false;false;false;false;false;false;false;false;false;true
true;true;true;true;false;false;false;false;true;true;false;true;true;true
true;true;true;false;true;false;false;false;true;true;false;true;false;true
true;true;true;false;true;false;false;false;false;false;false;false;false;true
true;true;true;true;false;false;false;false;false;false;false;false;false;true
true;true;false;false;false;false;false;false;true;true;false;true;true;true
true;true;true;false;true;false;false;false;false;false;false;false;true;true
true;true;false;false;false;false;false;false;true;true;false;true;false;true
true;true;true;false;true;false;false;false;true;true;false;true;true;true
true;true;true;false;false;true;true;true;true;true;true;false;false;true
true;true;true;false;false;true;true;false;false;false;false;false;true;true
true;true;true;false;false;true;false;true;true;true;true;false;true;true
true;true;true;false;false;true;true;true;false;false;false;false;true;true
true;true;true;false;false;true;true;true;true;true;false;true;true;true
