CarBody;MultimediaDevices;Radio;MonochromeRadioDisplay;ColorRadioDisplay;Navigation;DisplayType;MonochromeNavDisplay;ColorNavDisplay;DataStorage;HardDiskDrive;DVDDrive;DVDEntertainment;OtherFeatures;
true;true;true;true;true;false;false;false;false;false;false;false;false;true;
true;true;true;true;true;true;true;true;false;true;true;false;true;true;
true;true;true;true;true;true;true;false;true;true;false;true;false;true;
true;true;true;true;true;true;true;true;false;false;false;false;true;true;
true;true;true;true;true;true;true;false;true;false;false;false;true;true;
true;true;true;true;true;false;false;false;false;false;false;false;true;true;
true;true;true;true;true;true;true;false;true;true;true;true;false;true;
true;true;true;true;true;true;true;true;false;true;*;true;false;true;
true;false;false;false;false;false;false;false;false;false;false;false;false;true;
true;true;false;false;false;true;true;true;false;true;true;false;true;true;
true;true;true;false;true;true;true;false;true;true;*;true;false;true;
true;true;false;false;false;true;true;false;true;true;*;true;false;true;
