ERP_SPL;Cadastros;Cadastrodecliente;Editarcadastrodecliente;Apagarcadastrodecliente;Cadastrodefornecedor;Editarcadastrodefornecedor;Apagarcadastrodefornecedor;Cadastrodefuncionario;Editarcadastrodefuncionario;Apagarcadastrodefuncionario;Cadastrodeusuario;Editarcadastrodeusuario;Apagarcadastrodeusuario;Cadastroderegrasdeacessodeusuario;Editarregrasdeacessodeusuario;Cadastros_6;Cadastrodeproduto;Editarcadastrodeproduto;Apagarcadastrodeproduto;Cadastrodeservico;Editarcadastrodeservico;Apagarcadastrodeservico;Login;Controledeacesso;Listagens;Listagemdeitens;Listagemdeprodutos;Listagemdeservicos;Listagemdepessoas;Listagemdeclientes;Listagemdefornecedores;Listagemdefuncionarios;Listagemdeusuarios;Listagemdeestoque;Controledeestoque;Entradadeestoque;Saidadeestoque;Manutencaodeestoque;Controlefinanceiro;Contasapagar;Contasareceber;Manutencaodelancamentos
true;true;true;true;true;true;true;true;false;false;false;true;true;true;false;false;true;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;false;true;true;true;false;true;false;false;false;false;false;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;true;true;false;true;false;false;false;false;false;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;false;false;false;false;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;false;true;false;false;false;false;false;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;false;false;true;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;false;false;false;false;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;false;true;true;false;false;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;true;true;true;true;false;true;false;true;false;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;false;true;true;false;true;true;true;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;false;true;true;true;true;true;false;true;true;true;true;true;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;false;true;false;true;true;true;false;true;false;true;false
