HelpSystem;Priority;PL;PI;PH;Method;PR;PB;Level;IT;AD;BG;Activity;PS;CT;SensorInput;S2;S3;S4;SensorPosition;NotPressed;Pressed;Sound1;Sound2;S1
true;true;true;false;false;true;false;true;true;false;false;true;true;false;true;true;false;false;true;true;false;true;false;true;false
true;true;true;true;false;true;false;true;true;true;false;false;true;false;true;true;true;false;false;true;false;true;true;false;true
true;true;true;true;false;true;false;true;true;false;true;false;true;false;true;true;false;true;false;true;false;true;false;true;false
true;true;true;false;false;true;false;true;true;false;true;false;true;false;true;true;true;false;false;true;false;true;true;false;true
true;true;true;false;false;true;false;true;true;true;false;false;true;false;true;true;false;true;false;true;false;true;false;true;false
true;true;true;true;false;true;false;true;true;false;false;true;true;false;true;true;false;false;true;true;false;true;true;false;false
true;true;true;false;false;true;false;true;true;false;true;false;true;false;true;true;false;false;true;true;false;true;true;false;false
true;true;true;false;false;true;false;true;true;false;false;true;true;false;true;true;false;true;false;true;false;true;true;false;false
true;true;true;true;false;true;false;true;true;false;false;true;true;false;true;true;true;false;false;true;false;true;false;true;true
true;true;true;true;false;true;false;true;true;true;false;false;true;false;true;true;false;false;true;true;false;true;true;false;false
