HelpSystem;Priority;PL;PI;PH;CT;Method;PR;PB;Level;IT;AD;BG;Activity;PS;SensorInput;S1;S2;S3;S4;SensorPosition;NotPressed;Pressed;Sound1;Sound2
true;true;true;true;false;true;true;false;true;true;true;false;false;true;true;true;false;false;false;true;true;true;false;false;false
true;true;true;true;false;true;true;false;true;true;false;false;true;true;true;true;false;false;true;false;true;true;false;false;false
true;true;true;false;false;true;true;false;true;true;true;false;false;true;true;true;false;false;false;true;true;true;false;false;false
true;true;true;false;false;true;true;false;true;true;false;false;true;true;true;true;false;false;true;false;true;true;false;false;false
true;true;true;false;false;true;true;false;true;true;false;true;false;true;true;true;false;false;false;true;true;true;false;false;false
true;true;true;true;false;true;true;false;true;true;false;true;false;true;true;true;false;false;true;false;true;true;false;false;false
true;true;true;false;false;true;true;false;true;true;true;false;false;true;true;true;false;false;true;false;true;true;false;false;false
true;true;true;false;false;true;true;false;true;true;false;true;false;true;true;true;false;false;true;false;true;true;false;false;false
true;true;true;true;false;true;true;false;true;true;false;false;true;true;true;true;false;false;false;true;true;true;false;false;false
true;true;true;true;false;true;true;false;true;true;true;false;false;true;true;true;false;false;true;false;true;true;false;false;false
