Linux;FileSystem;ext4;ext3;goCrypt;AES;Twofish;IP;v4;v6
true;true;false;false;true;false;true;true;false;true
true;true;true;true;false;false;false;true;true;false
true;true;true;false;true;true;false;true;false;true
true;true;false;false;true;true;false;true;true;false
true;true;false;false;true;true;false;true;true;true
true;true;true;false;false;false;false;true;true;false
true;true;true;true;true;false;true;true;true;true
true;true;false;false;true;false;true;true;true;false
true;true;true;true;false;false;false;true;false;true
true;true;true;true;true;true;false;true;true;false
