Linux;IP;v4;v6;FileSystem;ext3;ext4;goCrypt;AES;Twofish
true;true;false;true;true;false;false;true;false;true
true;true;true;false;true;true;true;false;false;false
true;true;true;true;true;false;false;true;true;false
true;true;false;true;true;true;true;false;false;false
true;true;true;false;true;false;false;true;false;true
true;true;true;false;true;false;true;false;false;false
true;true;false;true;true;true;true;true;true;false
true;true;true;false;true;true;false;false;false;false
true;true;true;false;true;false;false;true;true;false
true;true;true;false;true;true;true;true;false;true
