Linux;FileSystem;ext3;ext4;goCrypt;AES;IP;v4;v6;Twofish
true;true;false;false;true;true;true;false;true;false
true;true;true;true;false;false;true;true;false;true
true;true;true;false;true;true;true;false;true;false
true;true;false;true;false;false;true;true;false;true
true;true;true;true;true;true;true;false;true;false
true;true;false;false;true;true;true;true;false;true
true;true;true;false;false;false;true;false;true;false
true;true;true;false;true;true;true;false;true;true
true;true;true;false;true;true;true;true;false;false
true;true;true;false;true;true;true;true;true;false
