MobileMedia;Albummanagement;CreateAlbum;DeleteAlbum;Mediamanagement;Favorites;Setfavorites;Viewfavorites;Sorting;Basicmediaoperation;Createmedia;Deletemedia;Editmedialabel;Copymedia;SMStransfer;Receivephoto;Sendphoto;Mediaselection;Photo;Viewphoto;Capturephoto;Music;Playmusic;Video;Playvideo;Capturevideo;Mobilemedia;Createalbum;Deletealbum;Photomanagement;Favorite;Photooperation;Createphoto;Deletephoto;Editphotolabel;Copyphoto;SMStranfer;
true;true;true;true;true;false;false;false;false;true;true;true;true;false;false;false;false;true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;false;false;false;false;true;true;true;true;true;false;false;false;true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;false;false;false;false;true;true;true;true;false;false;false;false;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;false;false;false;false;true;true;true;true;*;false;false;false;true;false;false;false;false;false;true;true;true;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;true;true;true;true;true;true;true;true;*;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;false;false;false;false;true;true;true;true;*;false;false;false;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;true;true;true;true;true;true;true;true;*;false;false;false;true;false;false;false;false;false;true;true;*;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;false;false;false;false;true;true;true;true;*;true;true;true;true;false;false;false;false;false;true;true;*;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;false;false;false;true;true;true;true;true;*;false;false;false;true;false;false;false;false;false;true;true;*;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;true;true;true;false;true;true;true;true;*;false;false;false;true;false;false;false;false;false;true;true;*;false;false;false;false;false;false;false;false;false;false;false;
