MobileMedia;AlbumManagement;CreateAlbum;DeleteAlbum;CopyMedia;MediaManagement;Favorites;SetFavorites;ViewFavorites;Sorting;SMSTransfer;ReceivePhoto;SendPhoto;BasicMediaOperation;EraseMedia;DeleteMedia;EditMediaLabel;MediaSelection;Photo;ViewPhoto;CapturePhoto;Music;PlayMusic
true;true;true;true;false;true;false;false;false;false;false;false;false;true;true;true;true;true;false;false;false;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false
true;true;true;true;true;true;false;false;false;false;false;false;false;true;true;true;true;true;false;false;false;true;true
true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false
true;true;true;true;false;true;true;true;true;false;false;false;false;true;true;true;true;true;false;false;false;true;true
true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;false
true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;false;false;false;true;true
true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;false;false
true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;false;false;false;true;true
true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true
true;true;true;true;false;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false
