MobileMedia;AlbumManagement;CreateAlbum;DeleteAlbum;MediaManagement;Sorting;CopyMedia;SMSTransfer;ReceivePhoto;SendPhoto;BasicMediaOperation;EraseMedia;DeleteMedia;EditMediaLabel;MediaSelection;Photo;ViewPhoto;CapturePhoto;Music;PlayMusic;Favorites;SetFavorites;ViewFavorites
true;true;true;true;true;false;false;false;false;false;true;true;true;true;true;false;false;false;true;true;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true
true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;false;false;false;true;true;false;false;false
true;true;true;true;true;false;false;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true
true;true;true;true;true;false;true;false;false;false;true;true;true;true;true;false;false;false;true;true;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;false;false;false
true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;false;false;true;true;true
true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;false;true;true;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true
true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false
