MobileMedia;AlbumManagement;CreateAlbum;DeleteAlbum;MediaManagement;Favorites;SetFavorites;ViewFavorites;Sorting;CopyMedia;BasicMediaOperation;EraseMedia;DeleteMedia;EditMediaLabel;MediaSelection;Photo;ViewPhoto;CapturePhoto;Music;PlayMusic;SMSTransfer;ReceivePhoto;SendPhoto
true;true;true;true;true;false;false;false;false;false;true;true;true;true;true;false;false;false;true;true;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true
true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;false;false;false;true;true;false;false;false
true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true
true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;false;false;false;true;true;false;false;false
true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;true;false;false;true;true;true
true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;false;false;false;true;true;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;false;false
true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;false;false;false;true;true;true;true;true
true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;false;false;false
true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;false;false;false;false;false;false
