MobileMedia;AlbumManagement;CreateAlbum;DeleteAlbum;MediaManagement;Favorites;SetFavorites;ViewFavorites;CopyMedia;SMSTransfer;ReceivePhoto;SendPhoto;BasicMediaOperation;EraseMedia;DeleteMedia;EditMediaLabel;MediaSelection;Photo;ViewPhoto;CapturePhoto;Music;PlayMusic;Sorting
true;true;true;true;true;false;false;false;false;false;false;false;true;true;true;true;true;false;false;false;true;true;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true
true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;false;false;false;true;true;false
true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true
true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;false;false;false;true;true;false
true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;false
true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false
true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;false;false;false;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false
