MobileMedia;AlbumManagement;CreateAlbum;SMSTransfer;ReceivePhoto;SendPhoto;DeleteAlbum;MediaManagement;Favorites;SetFavorites;ViewFavorites;Sorting;CopyMedia;BasicMediaOperation;EraseMedia;DeleteMedia;EditMediaLabel;MediaSelection;Photo;ViewPhoto;CapturePhoto;Music;PlayMusic
true;true;true;false;false;false;true;true;false;false;false;false;false;true;true;true;true;true;false;false;false;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false
true;true;true;true;true;true;true;true;false;false;false;false;false;true;true;true;true;true;false;false;false;true;true
true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false
true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;false;false;false;true;true
true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;false;false
true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;false;false;false;true;true
true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;true;false;false
true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;false;false;false;true;true
true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true
true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;false;false;false
