MobileMedia;AlbumManagement;CreateAlbum;DeleteAlbum;MediaManagement;Favorites;SetFavorites;ViewFavorites;Sorting;CopyMedia;SMSTransfer;ReceivePhoto;SendPhoto;MediaSelection;Photo;ViewPhoto;CapturePhoto;Music;PlayMusic;BasicMediaOperation;EraseMedia;DeleteMedia;EditMediaLabel
true;true;true;true;true;false;false;false;false;false;false;false;false;true;false;false;false;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true
true;true;true;true;true;true;true;true;false;false;false;false;false;true;false;false;false;true;true;true;true;true;true
true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true
true;true;true;true;true;true;true;true;true;false;false;false;false;true;false;false;false;true;true;true;true;true;true
true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;false;false;true;true;true;true
true;true;true;true;true;true;true;true;false;true;false;false;false;true;false;false;false;true;true;true;true;true;true
true;true;true;true;true;true;true;true;false;false;true;true;true;true;false;false;false;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;false;false;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true
