MobileMedia;Albummanagement;CreateAlbum;DeleteAlbum;Mediamanagement;Favorites;Setfavorites;Viewfavorites;Sorting;Basicmediaoperation;Createmedia;Deletemedia;Editmedialabel;Copymedia;SMStransfer;Receivephoto;Sendphoto;Mediaselection;Photo;Viewphoto;Capturephoto;Music;Video;Playvideo;Capturevideo;Playmusic
true;true;true;true;true;false;false;false;false;true;true;true;true;false;false;false;false;true;false;false;false;false;true;true;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true
true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;false;true;true;true;true;false;false;false;false;true;false;false;false;false;true;true;true;true
true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;true;false;false;false;false;true;true;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;false;false;false;false;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;false;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;false;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;false;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;false;false;false;false;false;true
true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true
