MobileMedia;Albummanagement;CreateAlbum;DeleteAlbum;Photo;Viewphoto;Capturephoto;Mediamanagement;Favorites;Setfavorites;Viewfavorites;Sorting;Basicmediaoperation;Createmedia;Deletemedia;Editmedialabel;Copymedia;SMStransfer;Receivephoto;Sendphoto;Mediaselection;Music;Playmusic;Video;Playvideo;Capturevideo
true;true;true;true;false;false;false;true;false;false;false;false;true;true;true;true;false;false;false;false;true;false;false;true;true;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false
true;true;true;true;true;true;false;true;false;false;false;false;true;true;true;true;false;false;false;false;true;false;false;true;true;true
true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false
true;true;true;true;false;false;false;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;false;false;false;false;true;false;false;true;true;true
true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;false;false;false;true;false;false;true;true;true
true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;true;false;false;true;true;true
true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;false;false;false;true;false;false;true;true;false
true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true;true;true;false;false;false
true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;false;true;true;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;false;false;false
