MobileMedia;Albummanagement;CreateAlbum;DeleteAlbum;Video;Playvideo;Capturevideo;Mediamanagement;Favorites;Setfavorites;Viewfavorites;Sorting;Basicmediaoperation;Createmedia;Deletemedia;Editmedialabel;Copymedia;SMStransfer;Receivephoto;Sendphoto;Mediaselection;Photo;Viewphoto;Capturephoto;Music;Playmusic
true;true;true;true;false;false;false;true;false;false;false;false;true;true;true;true;false;false;false;false;true;false;false;false;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false
true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false
true;true;true;true;true;true;false;true;false;false;false;false;true;true;true;true;false;false;false;false;true;false;false;false;true;true
true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;false;false;false;false;true;false;false;false;true;true
true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;false;false;false;false;true;false;false;false;true;true
true;true;true;true;true;true;false;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;true;false;false;false;true;true
true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;false;false
true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true;true;false;false;false;true;false;false;false;true;true
true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;false
true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;false;false;false;true;true
true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;false;false;false;true;true;true;true;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;false;true;true
true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true
true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;true;true;false;false;false
