MobileMedia;Albummanagement;CreateAlbum;DeleteAlbum;Basicmediaoperation;Createmedia;Deletemedia;Editmedialabel;Mediamanagement;Favorites;Setfavorites;Viewfavorites;Sorting;Copymedia;SMStransfer;Receivephoto;Sendphoto;Mediaselection;Photo;Viewphoto;Capturephoto;Music;Playmusic;Video;Playvideo;Capturevideo
true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;true;true;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false
true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;true;false;false;false;false;false;true;true;true
true;true;true;true;true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;false;false;false;false;false;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;false;false;false;false;false;true;true;false
true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;false;false;true;true;true;true;true;true;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;false;false;false;true;true;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;false;false;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;false;false;true;true;false
