MobileMedia;Albummanagement;CreateAlbum;DeleteAlbum;Mediamanagement;Favorites;Setfavorites;Viewfavorites;Sorting;Basicmediaoperation;Createmedia;Deletemedia;Editmedialabel;Copymedia;SMStransfer;Receivephoto;Sendphoto;Mediaselection;Music;Playmusic;Video;Playvideo;Capturevideo;Photo;Viewphoto;Capturephoto
true;true;true;true;true;false;false;false;false;true;true;true;true;false;false;false;false;true;false;false;true;true;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true
true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;false;true;true;true;true;false;false;false;false;true;false;false;true;true;true;false;false;false
true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;true;false;false;true;true;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;false;false;true;true;false;false;false;false
true;true;true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true;true;true;false;false;false;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;false;false;true;true;true;false;false;false
true;true;true;true;true;true;true;true;false;true;true;true;true;false;false;false;false;true;true;true;false;false;false;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false
true;true;true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;false;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;false
