MobileMedia;Albummanagement;CreateAlbum;DeleteAlbum;Mediamanagement;Favorites;Setfavorites;Viewfavorites;Sorting;Basicmediaoperation;Createmedia;Deletemedia;Editmedialabel;Copymedia;SMStransfer;Sendphoto;Mediaselection;Photo;Viewphoto;Capturephoto;Music;Playmusic;Video;Playvideo;Capturevideo;Receivephoto
true;true;true;true;true;false;false;false;false;true;true;true;true;false;false;false;true;false;false;false;false;false;true;true;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true
true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;false;true;true;true;true;false;false;false;true;false;false;false;false;false;true;true;true;true
true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;false;false;false;false;false;true;true;true;true
true;true;true;true;true;true;true;true;false;true;true;true;true;true;false;false;true;false;false;false;false;false;true;true;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;false;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;false;false;false;false;true;true;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;false;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;false;false;false;false;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;false;false;true;true;true;true
