PPU;Crane;SRouting;Slide;Straight;Conveyor;SSortation;DSortation;Workpiece;Type;Plastic;Light;Metal;Stamp;SPressure;APressure
true;true;true;true;false;true;false;true;true;true;false;false;true;false;false;false
true;true;true;true;true;false;false;false;true;true;true;true;true;true;false;true
true;true;true;true;false;true;true;false;true;true;false;false;true;true;true;false
true;true;true;true;true;false;false;false;true;true;false;false;true;false;false;false
true;true;true;true;true;false;false;false;true;true;false;false;true;true;true;false
true;true;true;true;false;true;true;false;true;true;true;true;true;true;false;true
true;true;true;true;false;true;false;true;true;true;true;true;true;true;false;true
true;true;true;true;false;true;true;false;true;true;false;false;true;false;false;false
true;true;true;true;true;false;false;false;true;true;false;false;true;true;false;true
true;true;true;true;false;true;false;true;true;true;false;false;true;true;true;false
