PPU;Crane;SRouting;ERouting;Slide;Straight;Conveyor;SSortation;DSortation;Workpiece;Plastic;Light;Dark;Metal;Stamp;APressure;SPressure
true;true;false;true;true;false;true;false;true;true;true;true;false;false;true;true;false
true;true;true;false;true;true;false;false;false;true;true;true;true;false;true;true;true
true;true;false;true;true;true;false;false;false;true;true;true;false;false;true;true;true
true;true;true;false;true;false;true;true;false;true;true;true;false;false;true;true;false
true;true;false;true;true;false;true;true;false;true;true;true;false;false;true;true;true
true;true;true;false;true;false;true;false;true;true;true;true;false;false;true;true;true
true;true;false;true;true;false;true;false;true;true;true;true;true;false;true;true;false
true;true;false;true;true;false;true;true;false;true;true;true;true;false;true;true;true
true;true;false;true;true;true;false;false;false;true;true;true;true;false;true;true;false
true;true;true;false;true;true;false;false;false;true;true;true;true;false;true;true;false
