ParkingAssistant;Sensors;DistanceSensors;SensorFusion;DistanceSensorTypes;InfraredSensor;UltrasonicSensor;DrivenWaySensors;PulseLengthSensorV2;DirectionPositionSensors;DirectionSensors;CompassSensors;PositionSensors;GPSSensor;Controller;ControllerDir;ControllerWithDir;ControllerWithoutDir;LocationBasedServ
true;true;true;false;true;false;true;true;true;true;false;false;true;true;true;true;false;true;false
true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;false;false
true;true;true;false;true;true;false;true;true;true;false;false;true;true;true;true;false;true;true
true;true;true;false;true;true;false;true;true;true;true;true;false;false;true;true;false;true;false
true;true;true;false;true;false;true;true;true;true;true;true;true;true;true;true;true;false;true
true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;false;true;true
true;true;true;false;true;false;true;true;true;true;true;true;false;false;true;true;true;false;false
true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;false;false
true;true;true;true;true;false;true;true;true;true;false;false;true;true;false;false;false;false;false
true;true;true;false;true;true;false;true;true;true;true;true;false;false;false;false;false;false;false
