SmartHome;HVACManagement;HeatingControl;ManualHeating1;AutomatedHeating;RemoteHeatingControl;AirConditioningControl;ManualAirConditioningControl;AutomatedAirConditioningControl;RemoteAirConditioningControl;VentilationControl;ManualVentilationControl;AutomatedVentilationControl;FullAutomatedHVACControl;FullManualHVACControl;WindowsManagement;ManualWindows;AutomatedWindows;LightManagement;AutomatedIlumination;AutomatedPerimeterIllumination;AutomatedIn_houseIllumination;ManualIlumination;UI;TouchScreen;Internet;Privacy;EncryptionAlgorithm;RSA;DES;PresenceSimulation;LightSimulation;BlindsSimulation;AVSimulation;FireControl;FirstAidGroup;FireDepartment;OtherGroup;FireSprinklers;IrrigationSprinklers;SimpleControl;AutomatedSprinklers;Alarm;Siren;Bell;Lights;Security;AuthenticationDevice;Keypad;RetinaScanner;FingerprintReader;IntrusionDetectionDevice;GlassbreakSensors;Cameras;BlindsManagement;ManualBlinds;AutomatedBlinds;AVManagement;AutomatedAV;Moods
true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;false;true;false;false;false;true;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;false;true;false;false;false;true;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;true;true;false;true;false;false;false;true;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false
true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;false;true;false;false;false;true;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;true;true;false;true;false;false;false;true;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false
true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;true;true;false;true;false;false;false;true;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false
true;true;false;false;false;false;true;true;false;false;false;false;false;false;false;true;true;false;true;true;true;true;true;true;true;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true
true;true;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;false;false;false;true;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
true;true;false;false;false;false;true;true;true;false;false;false;false;false;false;true;true;true;true;true;false;true;true;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;false;false;false;false
true;true;true;true;true;false;true;true;true;true;false;false;false;false;false;true;true;false;true;true;true;false;true;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false
true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;false;true;false;false;false;true;true;true;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;false;true;true;true;false;true;true;false;false;false;true;true;true;true;true;true;true;true;true;false;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;false;true;true;true;false;true;true;true;false;false;true;true;false;true;true;true;false;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;true;true;true;true;true;true;false;true;true;true;false;false;false;false;false;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;false;true;true;true;false;false;false;false;false;true;false;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;false;false;false;false;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;false;true;true;true;true;true;true;false;true;false;true;true;false;true;true;true;false;true;true;true;false;false;false;false;false;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;false;true;true;true;false;true;true;true;false;false;false;false;false;true;true;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;true;true;true;true;false;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;false;false;false;false;false;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;true;true;true;true;true;true;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false
true;true;true;true;true;false;true;true;true;true;true;true;false;false;false;true;true;false;true;true;true;true;true;true;true;false;false;false;false;false;true;true;false;false;true;true;true;false;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;false;false;false;false;false;true;true;true;false;true;true;true;false;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false
true;true;true;true;true;false;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;false;true;true;true;false;false;false;false;false;true;true;false;true;true;true;true;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false
true;true;true;true;true;false;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;false;true;true;true;false;false;false;false;false;true;true;true;false;true;true;true;false;true;true;true;false;true;true;false;false;false;false;false;false;false;false;false;false;true;true;true;false;false;false
