Smartwatch;SmartPay;SmartKey;CarKey;HomeKey;Chinese;ManageHealth;HeartBeat;EnergyBurnt;Language;English;Korean
true;true;false;false;false;false;false;false;false;true;false;true
true;false;true;true;true;false;true;true;true;true;true;false
true;true;true;false;true;false;false;false;false;true;true;false
true;false;false;false;false;false;true;true;true;true;true;false
true;true;true;true;false;true;false;false;false;true;false;true
true;true;false;false;false;false;true;true;false;true;true;false
true;false;true;true;true;true;false;false;false;true;false;true
true;true;true;true;true;false;true;false;true;true;false;true
true;false;true;false;true;false;true;true;true;true;false;true
true;true;true;false;false;true;true;true;true;true;true;false
