Smartwatch;SmartPay;Language;English;Chinese;Korean;SmartKey;CarKey;HomeKey;ManageHealth;HeartBeat;EnergyBurnt
true;true;true;false;false;true;false;false;false;false;false;false
true;false;false;false;false;false;false;false;false;false;false;false
true;true;true;true;false;false;true;false;true;false;false;false
true;false;false;false;false;false;true;true;true;true;true;true
true;true;true;false;true;false;true;true;false;false;false;false
true;true;true;true;false;false;false;false;false;true;true;false
true;false;false;false;false;false;false;false;false;true;false;true
true;true;true;false;false;true;true;true;true;true;false;true
true;false;false;false;false;false;true;true;false;true;true;false
true;true;true;true;false;false;true;true;true;true;false;true
true;true;true;false;true;false;true;false;true;true;true;true
true;true;true;false;true;false;false;false;false;true;true;true
true;true;true;false;false;true;true;true;true;true;true;true
