Smartwatch;SmartPay;SmartKey;CarKey;HomeKey;ManageHealth;HeartBeat;EnergyBurnt;Language;English;Chinese;Korean
true;true;false;false;false;false;false;false;true;false;false;true
true;false;true;true;true;true;true;true;true;true;false;false
true;false;false;false;false;false;false;false;true;false;true;false
true;true;true;true;true;true;true;true;true;true;false;false
true;false;true;false;true;false;false;false;true;false;false;true
true;true;false;false;false;true;true;true;true;true;false;false
true;true;true;true;false;false;false;false;true;false;true;false
true;false;true;true;true;true;false;false;true;false;true;false
true;true;true;true;true;true;false;true;true;false;false;true
true;true;true;true;false;false;false;false;true;true;false;false
true;false;true;true;true;true;true;true;true;false;true;false
true;false;true;true;true;true;true;false;true;false;false;true
