Smartwatch;SmartPay;SmartKey;CarKey;HomeKey;Korean;ManageHealth;HeartBeat;EnergyBurnt;Language;English;Chinese;Speaker;Poly;Plain
true;true;false;false;false;false;false;false;false;true;false;true;true;false;true
true;false;true;true;true;true;true;true;true;true;true;false;true;true;false
true;true;true;true;true;true;true;true;true;true;true;false;true;true;false
true;false;true;true;false;false;false;false;false;true;false;true;true;false;true
true;false;false;false;false;false;true;true;true;true;true;false;true;true;false
true;true;true;false;false;true;false;false;false;true;false;true;true;false;true
true;true;true;false;true;false;false;false;false;true;false;true;true;false;true
true;true;true;true;true;false;true;true;false;true;false;true;true;false;true
true;false;true;true;true;true;false;false;false;true;true;false;true;true;false
true;false;true;true;true;false;true;false;true;true;false;true;true;false;true
true;true;true;true;false;true;true;true;false;true;true;false;true;false;true
true;false;true;true;false;false;true;true;false;true;false;true;true;true;false
