Smartwatch;SmartPay;SmartKey;CarKey;Language;English;Chinese;Korean;HomeKey;ManageHealth;HeartBeat;EnergyBurnt;Speaker;Poly;Plain
true;true;false;false;false;false;false;false;false;true;true;false;true;false;true
true;false;true;true;true;true;false;false;true;true;true;true;true;true;false
true;true;true;false;false;false;false;false;true;true;false;true;true;true;false
true;false;false;false;false;false;false;false;false;false;false;false;true;true;false
true;true;true;true;true;false;true;false;false;false;false;false;true;true;false
true;true;false;false;false;false;false;false;false;true;true;true;true;true;false
true;false;true;true;true;false;true;false;true;false;false;false;true;false;true
true;true;true;true;true;false;false;true;true;true;false;true;true;false;true
true;false;false;false;false;false;false;false;false;true;true;true;true;true;false
true;false;true;true;true;false;false;true;false;false;false;false;true;true;false
true;true;true;true;true;true;false;false;false;false;false;false;true;false;true
true;false;true;true;true;false;true;false;true;true;true;true;true;true;false
true;false;true;true;true;false;false;true;false;true;true;true;true;true;false
