Smartwatch;SmartPay;English;SmartKey;CarKey;HomeKey;ManageHealth;HeartBeat;EnergyBurnt;Language;Chinese;Korean;Speaker;Poly;Plain
true;true;false;false;false;false;false;false;false;true;false;true;true;false;true
true;false;false;true;true;true;true;true;true;true;true;false;true;true;false
true;true;true;true;false;true;false;false;false;true;false;true;true;false;true
true;false;false;false;false;false;true;true;true;true;true;false;true;false;true
true;true;false;true;true;false;false;false;false;true;true;false;true;true;false
true;true;true;false;false;false;true;true;false;true;false;true;true;true;false
true;false;false;true;true;true;false;false;false;true;true;false;true;false;true
true;true;false;true;true;true;true;false;true;true;false;true;true;false;true
true;false;false;false;false;false;true;true;false;true;false;true;true;true;false
true;true;true;true;true;true;true;false;true;true;true;false;true;true;false
