WeatherStation;Measurements;WindSpeed;Temperature;Pressure;DataSource;ExternalSensors;Demo;Internet;OutFormAndLanguage;OutputFormat;File;WebServer;Format;XML;Text;Language;English;German;Alarm;FreezePoint;StormAlert;HTML
true;true;false;false;true;true;false;false;true;true;true;false;false;false;false;true;true;false;true;false;false;false;false
true;true;true;true;false;true;true;false;false;true;true;true;false;false;false;false;true;true;false;true;true;true;true
true;true;false;true;false;true;false;true;false;true;true;false;true;true;true;false;true;true;false;true;true;true;true
true;true;true;false;true;true;false;true;false;true;true;false;true;true;true;false;true;false;true;false;false;false;false
true;true;true;false;false;true;false;false;true;true;true;false;false;false;false;true;true;true;false;true;false;true;true
true;true;false;true;true;true;false;false;true;true;true;false;false;false;false;true;true;false;true;true;true;false;false
true;true;false;false;true;true;true;false;false;true;true;true;false;false;false;false;true;true;false;true;false;true;true
true;true;true;false;false;true;false;true;false;true;true;true;false;false;false;false;true;false;true;false;false;false;false
true;true;true;false;true;true;true;false;false;true;true;false;true;true;true;false;true;false;true;false;false;false;false
true;true;true;false;true;true;false;true;false;true;true;false;false;false;false;true;true;true;false;false;false;false;false
true;true;true;true;true;true;false;false;true;true;true;false;true;true;true;false;true;false;true;true;true;true;true
true;true;true;false;false;true;false;false;true;true;true;true;false;false;false;false;true;true;false;false;false;false;true
true;true;true;true;true;true;true;false;false;true;true;false;false;false;false;true;true;true;false;true;true;true;false
