WeatherStation;Measurements;WindSpeed;Temperature;Pressure;WebServer;DataSource;ExternalSensors;Demo;Internet;OutFormAndLanguage;OutputFormat;File;Text;Format;HTML;XML;Plaintext;Language;English;German;Alarm;FreezePoint;StormAlert
true;true;false;false;true;false;true;false;false;true;true;true;false;true;true;false;false;true;true;false;true;true;false;true
true;true;true;true;false;false;true;true;false;false;true;true;true;false;true;false;false;true;true;false;true;true;true;false
true;true;false;true;true;true;true;true;false;false;true;true;false;true;true;true;false;false;true;false;true;true;true;false
true;true;true;false;false;false;true;false;true;false;true;true;true;false;true;false;true;false;true;false;true;false;false;false
true;true;true;false;true;true;true;true;false;false;true;true;false;true;true;true;false;false;true;true;false;false;false;false
true;true;false;true;false;true;true;false;true;false;true;true;false;true;true;false;true;false;true;true;false;true;true;true
true;true;false;false;true;false;true;false;true;false;true;true;true;false;true;false;true;false;true;false;true;false;false;false
true;true;true;true;false;false;true;false;false;true;true;true;true;false;true;false;false;true;true;true;false;true;true;false
true;true;false;true;true;true;true;false;false;true;true;true;false;true;true;true;false;false;true;true;false;true;true;false
true;true;true;true;false;false;true;false;true;false;true;true;false;true;true;false;false;true;true;true;false;true;true;true
true;true;false;false;true;false;true;true;false;false;true;true;false;true;true;true;false;false;true;false;true;false;false;false
true;true;false;true;false;false;true;false;false;true;true;true;false;true;true;false;false;true;true;true;false;true;true;false
true;true;true;true;false;false;true;false;true;false;true;true;false;true;true;false;false;true;true;true;false;true;true;false
true;true;false;true;false;false;true;true;false;false;true;true;false;true;true;false;false;true;true;true;false;true;true;false
true;true;true;true;false;true;true;true;false;false;true;true;true;false;true;true;false;false;true;true;false;true;true;true
true;true;true;true;true;true;true;false;true;false;true;true;true;false;true;true;false;false;true;true;false;true;true;true
true;true;true;true;false;true;true;true;false;false;true;true;true;false;true;false;true;false;true;true;false;true;true;false
true;true;true;false;true;false;true;false;false;true;true;true;true;false;true;false;true;false;true;true;false;false;false;false
