WeatherStation;Measurements;WindSpeed;Temperature;Pressure;OutFormAndLanguage;OutputFormat;File;WebServer;Text;Format;HTML;XML;Plaintext;Language;English;German;Alarm;FreezePoint;StormAlert;DataSource;ExternalSensors;Demo;Internet
true;true;false;false;true;true;true;false;false;true;true;false;false;true;true;false;true;true;true;false;true;false;false;true
true;true;true;false;false;true;true;false;false;true;true;true;false;false;true;true;false;true;true;true;true;true;false;false
true;true;false;false;true;true;true;false;true;false;true;true;false;false;true;true;false;true;true;true;true;false;true;false
true;true;true;false;false;true;true;true;false;false;true;false;true;false;true;false;true;true;true;false;true;false;true;false
true;true;true;false;true;true;true;false;true;false;true;false;true;false;true;true;false;true;true;false;true;false;false;true
true;true;false;false;true;true;true;true;false;false;true;true;false;false;true;true;false;true;true;true;true;true;false;false
true;true;false;false;true;true;true;true;false;false;true;false;true;false;true;false;true;true;true;true;true;false;false;true
true;true;true;false;false;true;true;false;true;false;true;false;false;true;true;false;true;true;true;true;true;false;false;true
true;true;false;false;true;true;true;true;false;false;true;false;false;true;true;true;false;true;true;true;true;true;false;false
true;true;true;false;false;true;true;false;true;false;true;true;false;false;true;false;true;true;true;false;true;true;false;false
true;true;false;false;true;true;true;false;false;true;true;true;false;false;true;false;true;true;true;true;true;false;true;false
true;true;false;false;true;true;true;false;false;true;true;false;true;false;true;true;false;true;true;true;true;true;false;false
true;true;true;false;false;true;true;true;false;false;true;true;false;false;true;true;false;true;true;false;true;false;false;true
true;true;true;false;true;true;true;true;false;false;true;false;false;true;true;true;false;true;true;false;true;false;true;false
true;true;false;false;true;true;true;true;false;false;true;true;false;false;true;true;false;true;true;false;true;true;false;false
