WeatherStation;Measurements;WindSpeed;Temperature;Pressure;English;DataSource;ExternalSensors;Demo;Internet;OutFormAndLanguage;OutputFormat;File;WebServer;Text;Format;HTML;XML;Plaintext;Language;German;Alarm;FreezePoint;StormAlert
true;true;false;false;false;true;true;false;false;true;true;true;false;false;true;true;false;false;true;true;true;false;false;false
true;true;true;true;true;false;true;true;false;false;true;true;true;false;false;true;true;false;false;true;true;true;true;true
true;true;true;false;false;true;true;false;true;false;true;true;false;true;false;true;false;true;false;true;true;false;false;false
true;true;false;true;true;false;true;true;false;false;true;true;true;false;false;true;true;false;false;true;true;true;true;true
true;true;true;false;true;false;true;false;false;true;true;true;false;false;true;true;false;false;true;true;true;true;false;true
true;true;false;false;true;true;true;true;false;false;true;true;true;false;false;true;false;true;false;true;true;false;false;false
true;true;false;true;true;true;true;false;true;false;true;true;false;true;false;true;false;false;true;true;true;true;true;false
true;true;true;true;false;false;true;true;false;false;true;true;false;false;true;true;true;false;false;true;true;true;true;true
true;true;false;true;false;true;true;false;false;true;true;true;true;false;false;true;true;false;false;true;true;true;true;true
true;true;true;false;true;false;true;false;true;false;true;true;false;true;false;true;false;true;false;true;true;false;false;false
true;true;true;true;false;true;true;true;false;false;true;true;false;true;false;true;false;false;true;true;true;true;true;true
true;true;true;false;true;false;true;false;true;false;true;true;false;false;true;true;true;false;false;true;true;true;false;true
true;true;true;false;false;true;true;false;false;true;true;true;false;true;false;true;false;true;false;true;true;true;false;true
true;true;true;true;false;false;true;false;true;false;true;true;true;false;false;true;false;false;true;true;true;true;true;true
true;true;true;false;false;false;true;true;false;false;true;true;false;false;true;true;false;true;false;true;true;true;false;true
true;true;true;false;true;true;true;true;false;false;true;true;false;true;false;true;true;false;false;true;true;false;false;false
