WeatherStation;Measurements;WindSpeed;Temperature;Pressure;HTML;DataSource;ExternalSensors;Demo;Internet;OutFormAndLanguage;OutputFormat;File;WebServer;Text;Format;XML;Plaintext;Language;English;German;Alarm;FreezePoint;StormAlert
true;true;false;false;false;true;true;false;false;true;true;true;false;false;true;true;false;true;true;false;true;true;true;false
true;true;true;false;true;false;true;true;false;false;true;true;true;false;false;true;true;false;true;true;false;true;true;true
true;true;false;false;true;false;true;false;true;false;true;true;false;true;false;true;true;false;true;true;false;true;true;true
true;true;true;false;false;true;true;false;true;false;true;true;false;true;false;true;false;true;true;false;true;true;true;false
true;true;true;false;false;false;true;false;false;true;true;true;false;false;true;true;true;false;true;true;false;true;true;true
true;true;false;false;true;true;true;true;false;false;true;true;true;false;false;true;false;true;true;false;true;true;true;false
true;true;false;false;true;false;true;false;false;true;true;true;false;false;true;true;false;true;true;false;true;true;true;false
true;true;true;false;false;true;true;true;false;false;true;true;true;false;false;true;true;false;true;true;false;true;true;true
true;true;true;false;false;false;true;true;false;false;true;true;false;true;false;true;false;true;true;true;false;true;true;true
true;true;true;false;false;true;true;false;true;false;true;true;true;false;false;true;true;false;true;false;true;true;true;false
true;true;true;false;false;false;true;false;false;true;true;true;true;false;false;true;true;false;true;false;true;true;true;true
true;true;true;false;false;true;true;true;false;false;true;true;false;false;true;true;true;false;true;true;false;true;true;false
true;true;true;false;false;false;true;false;false;true;true;true;false;true;false;true;true;false;true;true;false;true;true;false
true;true;true;false;true;false;true;false;true;false;true;true;false;false;true;true;true;false;true;true;false;true;true;true
