Conveyor,Crane,Dark,Light,Metal,PPU,Plastic,SRouting,Slide,Stamp,Workpiece
NONE,true,false,false,true,true,false,true,Straight,APressure,true
SSortation,true,true,false,false,true,true,true,Conveyor,NONE,true
DSortation,true,false,false,true,true,false,true,Conveyor,SPressure,true
SSortation,true,true,false,true,true,true,true,Conveyor,SPressure,true
NONE,true,true,false,true,true,true,true,Straight,SPressure,true
SSortation,true,false,false,true,true,false,true,Conveyor,APressure,true
DSortation,true,true,true,true,true,true,true,Conveyor,APressure,true
DSortation,true,false,false,true,true,false,true,Conveyor,NONE,true
NONE,true,true,false,false,true,true,true,Straight,NONE,true
SSortation,true,false,true,true,true,true,true,Conveyor,APressure,true
NONE,true,true,true,true,true,true,true,Straight,APressure,true
DSortation,true,true,false,false,true,true,true,Conveyor,NONE,true
