Conveyor,Crane,Dark,ERouting,Light,Metal,PPU,Plastic,SRouting,Slide,Stamp,Workpiece
NONE,true,false,true,false,true,true,false,false,Straight,APressure,true
SSortation,true,true,false,false,false,true,true,true,Conveyor,NONE,true
DSortation,true,true,true,false,true,true,true,false,Conveyor,SPressure,true
SSortation,true,false,true,false,true,true,false,true,Conveyor,SPressure,true
NONE,true,true,false,false,true,true,true,true,Straight,SPressure,true
SSortation,true,false,true,false,true,true,false,false,Conveyor,APressure,true
DSortation,true,false,false,false,true,true,false,true,Conveyor,APressure,true
DSortation,true,false,true,false,true,true,false,false,Conveyor,NONE,true
NONE,true,true,true,false,false,true,true,false,Straight,NONE,true
SSortation,true,true,true,true,true,true,true,true,Conveyor,APressure,true
DSortation,true,false,false,true,true,true,true,true,Conveyor,APressure,true
NONE,true,false,true,true,true,true,true,false,Straight,APressure,true
DSortation,true,true,true,false,false,true,true,true,Conveyor,NONE,true
