Conveyor,Crane,Dark,Light,Metal,PPU,Plastic,Slide,Stamp,Workpiece
DSortation,SRouting,false,false,true,true,false,Conveyor,APressure,true
NONE,ERouting,true,false,false,true,true,Conveyor,NONE,true
SSortation,SRouting,true,false,true,true,true,Conveyor,SPressure,true
SSortation,ERouting,false,false,true,true,false,Conveyor,APressure,true
DSortation,ERouting,true,false,true,true,true,Conveyor,SPressure,true
NONE,SRouting,false,false,true,true,false,Conveyor,NONE,true
NONE,SRouting,false,false,true,true,false,Conveyor,SPressure,true
NONE,SRouting,true,true,true,true,true,Conveyor,APressure,true
SSortation,SRouting,true,false,false,true,true,Conveyor,NONE,true
DSortation,ERouting,true,false,false,true,true,Conveyor,NONE,true
SSortation,ERouting,false,true,true,true,true,Conveyor,APressure,true
DSortation,ERouting,true,true,true,true,true,Conveyor,APressure,true
