OldFM;NewFM;Generator;Size;Time;NSpecificTests;NNotSpecificTests;Specificity;FaultDetection;CombinatorialCoverage
PPUv1.xml;PPUv2.xml;SPECIFICITY_FMREDUCED;6;143.0;0;6;0.0;0.7181818;1.0
PPUv1.xml;PPUv2.xml;ACTS;6;444.0;0;6;0.0;0.7181818;1.0
PPUv1.xml;PPUv2.xml;MUTTESTGENERATOR;4;40.0;0;4;0.0;0.7181818;0.51363635
PPUv1.xml;PPUv2.xml;BDD_FMREDUCED;6;47.0;0;6;0.0;0.7181818;1.0
PPUv1.xml;PPUv2.xml;INCLING;6;30.0;0;6;0.0;0.7181818;1.0
PPUv1.xml;PPUv2.xml;GFE;6;47.0;0;6;0.0;0.7181818;1.0
PPUv1.xml;PPUv3.xml;SPECIFICITY_FMREDUCED;7;16.0;0;7;0.0;0.7;1.0
PPUv1.xml;PPUv3.xml;ACTS;7;190.0;0;7;0.0;0.7;1.0
PPUv1.xml;PPUv3.xml;MUTTESTGENERATOR;7;30.0;0;7;0.0;0.7;0.5181818
PPUv1.xml;PPUv3.xml;BDD_FMREDUCED;7;22.0;0;7;0.0;0.7;1.0
PPUv1.xml;PPUv3.xml;INCLING;7;11.0;0;7;0.0;0.7;1.0
PPUv1.xml;PPUv3.xml;GFE;7;9.0;0;7;0.0;0.7;1.0
PPUv1.xml;PPUv4.xml;SPECIFICITY_FMREDUCED;9;25.0;0;9;0.0;0.75974023;1.0
PPUv1.xml;PPUv4.xml;ACTS;9;153.0;0;9;0.0;0.75974023;1.0
PPUv1.xml;PPUv4.xml;MUTTESTGENERATOR;10;27.0;0;10;0.0;0.75974023;0.55448717
PPUv1.xml;PPUv4.xml;BDD_FMREDUCED;8;36.0;0;8;0.0;0.75974023;1.0
PPUv1.xml;PPUv4.xml;INCLING;9;16.0;0;9;0.0;0.75974023;1.0
PPUv1.xml;PPUv4.xml;GFE;10;10.0;0;10;0.0;0.75974023;1.0
PPUv1.xml;PPUv5.xml;SPECIFICITY_FMREDUCED;11;66.0;0;11;0.0;0.9067164;1.0
PPUv1.xml;PPUv5.xml;ACTS;12;306.0;0;12;0.0;0.9067164;1.0
PPUv1.xml;PPUv5.xml;MUTTESTGENERATOR;5;159.0;0;5;0.0;0.9070632;0.43014705
PPUv1.xml;PPUv5.xml;BDD_FMREDUCED;11;105.0;0;11;0.0;0.9067164;1.0
PPUv1.xml;PPUv5.xml;INCLING;13;20.0;0;13;0.0;0.9070632;1.0
PPUv1.xml;PPUv5.xml;GFE;11;20.0;0;11;0.0;0.9070632;1.0
PPUv1.xml;PPUv6.xml;SPECIFICITY_FMREDUCED;11;52.0;0;11;0.0;0.9053498;1.0
PPUv1.xml;PPUv6.xml;ACTS;12;243.0;0;12;0.0;0.90495867;1.0
PPUv1.xml;PPUv6.xml;MUTTESTGENERATOR;4;71.0;0;4;0.0;0.90495867;0.42916667
PPUv1.xml;PPUv6.xml;BDD_FMREDUCED;11;62.0;0;11;0.0;0.90495867;1.0
PPUv1.xml;PPUv6.xml;INCLING;13;23.0;0;13;0.0;0.90495867;1.0
PPUv1.xml;PPUv6.xml;GFE;11;13.0;0;11;0.0;0.90495867;1.0
PPUv1.xml;PPUv7.xml;SPECIFICITY_FMREDUCED;15;58.0;10;5;0.6666667;0.9194139;1.0
PPUv1.xml;PPUv7.xml;ACTS;12;348.0;5;7;0.41666666;0.9194139;1.0
PPUv1.xml;PPUv7.xml;MUTTESTGENERATOR;6;108.0;4;2;0.6666667;0.919708;0.44852942
PPUv1.xml;PPUv7.xml;BDD_FMREDUCED;14;79.0;9;5;0.64285713;0.9194139;1.0
PPUv1.xml;PPUv7.xml;INCLING;13;18.0;8;5;0.61538464;0.9194139;1.0
PPUv1.xml;PPUv7.xml;GFE;11;16.0;3;8;0.27272728;0.919708;1.0
PPUv1.xml;PPUv8.xml;SPECIFICITY_FMREDUCED;14;62.0;10;4;0.71428573;0.9130435;1.0
PPUv1.xml;PPUv8.xml;ACTS;12;344.0;7;5;0.5833333;0.9133574;1.0
PPUv1.xml;PPUv8.xml;MUTTESTGENERATOR;4;73.0;4;0;1.0;0.9130435;0.41911766
PPUv1.xml;PPUv8.xml;BDD_FMREDUCED;13;93.0;9;4;0.6923077;0.9130435;1.0
PPUv1.xml;PPUv8.xml;INCLING;12;16.0;7;5;0.5833333;0.9130435;1.0
