OldFM;NewFM;Generator;Size;Time;NSpecificTests;NNotSpecificTests;Specificity;FaultDetection;CombinatorialCoverage
PPUv1.xml;PPUv2.xml;SPECIFICITY_FMREDUCED;6;151.0;0;6;0.0;0.7181818;1.0
PPUv1.xml;PPUv2.xml;ACTS;6;404.0;0;6;0.0;0.7181818;1.0
PPUv1.xml;PPUv2.xml;MUTTESTGENERATOR;4;44.0;0;4;0.0;0.7181818;0.51363635
PPUv1.xml;PPUv2.xml;BDD_FMREDUCED;6;45.0;0;6;0.0;0.7181818;1.0
PPUv1.xml;PPUv3.xml;SPECIFICITY_FMREDUCED;7;18.0;0;7;0.0;0.7;1.0
PPUv1.xml;PPUv3.xml;ACTS;7;122.0;0;7;0.0;0.7;1.0
PPUv1.xml;PPUv3.xml;MUTTESTGENERATOR;7;18.0;0;7;0.0;0.7;0.5181818
PPUv1.xml;PPUv3.xml;BDD_FMREDUCED;7;25.0;0;7;0.0;0.7;1.0
PPUv1.xml;PPUv4.xml;SPECIFICITY_FMREDUCED;8;36.0;0;8;0.0;0.75974023;1.0
PPUv1.xml;PPUv4.xml;ACTS;9;213.0;0;9;0.0;0.75974023;1.0
PPUv1.xml;PPUv4.xml;MUTTESTGENERATOR;10;29.0;0;10;0.0;0.75974023;0.55448717
PPUv1.xml;PPUv4.xml;BDD_FMREDUCED;9;39.0;0;9;0.0;0.75974023;1.0
PPUv1.xml;PPUv5.xml;SPECIFICITY_FMREDUCED;11;80.0;0;11;0.0;0.9067164;1.0
PPUv1.xml;PPUv5.xml;ACTS;12;365.0;0;12;0.0;0.9067164;1.0
PPUv1.xml;PPUv5.xml;MUTTESTGENERATOR;5;156.0;0;5;0.0;0.9070632;0.43014705
PPUv1.xml;PPUv5.xml;BDD_FMREDUCED;11;115.0;0;11;0.0;0.9067164;1.0
PPUv1.xml;PPUv6.xml;SPECIFICITY_FMREDUCED;11;46.0;0;11;0.0;0.9053498;1.0
PPUv1.xml;PPUv6.xml;ACTS;12;216.0;0;12;0.0;0.9053498;1.0
PPUv1.xml;PPUv6.xml;MUTTESTGENERATOR;4;47.0;0;4;0.0;0.90495867;0.42916667
PPUv1.xml;PPUv6.xml;BDD_FMREDUCED;11;79.0;0;11;0.0;0.90495867;1.0
PPUv1.xml;PPUv7.xml;SPECIFICITY_FMREDUCED;14;60.0;9;5;0.64285713;0.9194139;1.0
PPUv1.xml;PPUv7.xml;ACTS;12;206.0;5;7;0.41666666;0.9194139;1.0
PPUv1.xml;PPUv7.xml;MUTTESTGENERATOR;6;63.0;4;2;0.6666667;0.9194139;0.44852942
PPUv1.xml;PPUv7.xml;BDD_FMREDUCED;14;78.0;9;5;0.64285713;0.9194139;1.0
PPUv1.xml;PPUv8.xml;SPECIFICITY_FMREDUCED;13;52.0;9;4;0.6923077;0.9133574;1.0
PPUv1.xml;PPUv8.xml;ACTS;12;298.0;7;5;0.5833333;0.9133574;1.0
