OldFM;NewFM;Generator;Size;Time;NSpecificTests;NNotSpecificTests;Specificity;FaultDetection
PPUv1.xml;PPUv2.xml;SPECIFICITY_FMREDUCED;6;219.0;0;6;0.0;0.7181818
PPUv1.xml;PPUv2.xml;ACTS;6;600.0;0;6;0.0;0.7181818
PPUv1.xml;PPUv2.xml;MUTTESTGENERATOR;4;69.0;0;4;0.0;0.7181818
PPUv1.xml;PPUv2.xml;BDD_FMREDUCED;6;29.0;0;6;0.0;0.7181818
PPUv1.xml;PPUv3.xml;SPECIFICITY_FMREDUCED;7;21.0;0;7;0.0;0.7
PPUv1.xml;PPUv3.xml;ACTS;7;191.0;0;7;0.0;0.7
PPUv1.xml;PPUv3.xml;MUTTESTGENERATOR;7;37.0;0;7;0.0;0.7
PPUv1.xml;PPUv3.xml;BDD_FMREDUCED;7;22.0;0;7;0.0;0.7
PPUv1.xml;PPUv4.xml;SPECIFICITY_FMREDUCED;9;40.0;0;9;0.0;0.75974023
PPUv1.xml;PPUv4.xml;ACTS;9;228.0;0;9;0.0;0.75974023
PPUv1.xml;PPUv4.xml;MUTTESTGENERATOR;10;48.0;0;10;0.0;0.75974023
PPUv1.xml;PPUv4.xml;BDD_FMREDUCED;9;29.0;0;9;0.0;0.75974023
PPUv1.xml;PPUv5.xml;SPECIFICITY_FMREDUCED;12;108.0;0;12;0.0;0.9067164
PPUv1.xml;PPUv5.xml;ACTS;12;617.0;0;12;0.0;0.9067164
PPUv1.xml;PPUv5.xml;MUTTESTGENERATOR;5;252.0;0;5;0.0;0.9070632
PPUv1.xml;PPUv5.xml;BDD_FMREDUCED;12;101.0;0;12;0.0;0.9067164
PPUv1.xml;PPUv6.xml;SPECIFICITY_FMREDUCED;12;62.0;0;12;0.0;0.9053498
PPUv1.xml;PPUv6.xml;ACTS;12;389.0;0;12;0.0;0.9053498
PPUv1.xml;PPUv6.xml;MUTTESTGENERATOR;4;101.0;0;4;0.0;0.90495867
PPUv1.xml;PPUv6.xml;BDD_FMREDUCED;12;77.0;0;12;0.0;0.90495867
PPUv1.xml;PPUv7.xml;SPECIFICITY_FMREDUCED;17;72.0;12;5;0.7058824;0.9194139
PPUv1.xml;PPUv7.xml;ACTS;12;374.0;5;7;0.41666666;0.9194139
PPUv1.xml;PPUv7.xml;MUTTESTGENERATOR;6;145.0;4;2;0.6666667;0.9194139
PPUv1.xml;PPUv7.xml;BDD_FMREDUCED;16;71.0;11;5;0.6875;0.9194139
PPUv1.xml;PPUv8.xml;SPECIFICITY_FMREDUCED;16;53.0;12;4;0.75;0.9133574
PPUv1.xml;PPUv8.xml;ACTS;12;471.0;7;5;0.5833333;0.9133574
PPUv1.xml;PPUv8.xml;MUTTESTGENERATOR;4;128.0;4;0;1.0;0.9130435
PPUv1.xml;PPUv8.xml;BDD_FMREDUCED;15;72.0;11;4;0.73333335;0.9133574
PPUv2.xml;PPUv3.xml;SPECIFICITY_FMREDUCED;9;20.0;3;6;0.33333334;0.7
PPUv2.xml;PPUv3.xml;ACTS;7;83.0;1;6;0.14285715;0.7
PPUv2.xml;PPUv3.xml;MUTTESTGENERATOR;7;19.0;1;6;0.14285715;0.7
PPUv2.xml;PPUv3.xml;BDD_FMREDUCED;7;17.0;1;6;0.14285715;0.7
PPUv2.xml;PPUv4.xml;SPECIFICITY_FMREDUCED;13;27.0;7;6;0.53846157;0.75974023
PPUv2.xml;PPUv4.xml;ACTS;9;137.0;2;7;0.22222222;0.75974023
PPUv2.xml;PPUv4.xml;MUTTESTGENERATOR;10;23.0;1;9;0.1;0.75974023
PPUv2.xml;PPUv4.xml;BDD_FMREDUCED;9;22.0;2;7;0.22222222;0.75974023
PPUv2.xml;PPUv5.xml;SPECIFICITY_FMREDUCED;17;58.0;11;6;0.64705884;0.9067164
PPUv2.xml;PPUv5.xml;ACTS;12;292.0;4;8;0.33333334;0.9067164
PPUv2.xml;PPUv5.xml;MUTTESTGENERATOR;5;57.0;2;3;0.4;0.9067164
PPUv2.xml;PPUv5.xml;BDD_FMREDUCED;12;52.0;4;8;0.33333334;0.9067164
PPUv2.xml;PPUv6.xml;SPECIFICITY_FMREDUCED;17;48.0;11;6;0.64705884;0.90495867
PPUv2.xml;PPUv6.xml;ACTS;12;317.0;4;8;0.33333334;0.90495867
PPUv2.xml;PPUv6.xml;MUTTESTGENERATOR;4;64.0;2;2;0.5;0.90495867
PPUv2.xml;PPUv6.xml;BDD_FMREDUCED;12;83.0;4;8;0.33333334;0.90495867
PPUv2.xml;PPUv7.xml;SPECIFICITY_FMREDUCED;16;88.0;14;2;0.875;0.9194139
PPUv2.xml;PPUv7.xml;ACTS;12;296.0;7;5;0.5833333;0.9194139
PPUv2.xml;PPUv7.xml;MUTTESTGENERATOR;6;69.0;4;2;0.6666667;0.9194139
PPUv2.xml;PPUv7.xml;BDD_FMREDUCED;16;43.0;14;2;0.875;0.9194139
PPUv2.xml;PPUv8.xml;SPECIFICITY_FMREDUCED;16;52.0;14;2;0.875;0.9133574
PPUv2.xml;PPUv8.xml;ACTS;12;242.0;9;3;0.75;0.9130435
PPUv2.xml;PPUv8.xml;MUTTESTGENERATOR;4;56.0;4;0;1.0;0.9130435
PPUv2.xml;PPUv8.xml;BDD_FMREDUCED;15;45.0;13;2;0.8666667;0.9130435
PPUv3.xml;PPUv2.xml;SPECIFICITY_FMREDUCED;6;12.0;0;6;0.0;0.7181818
PPUv3.xml;PPUv2.xml;ACTS;6;64.0;0;6;0.0;0.7181818
PPUv3.xml;PPUv2.xml;MUTTESTGENERATOR;4;11.0;0;4;0.0;0.7181818
PPUv3.xml;PPUv2.xml;BDD_FMREDUCED;6;12.0;0;6;0.0;0.7181818
PPUv3.xml;PPUv4.xml;SPECIFICITY_FMREDUCED;9;16.0;0;9;0.0;0.75974023
